,req1,req2,BinaryClass,MultiClass,BLabelled,MLabelled
3635,configurations settings;calibration;ability to not allow calibration while in operation on the field,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
3222,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,configurations settings;language: same as g7 config,0,0,A,A
1525,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,0,0,A,A
2268,bluetooth;the transportable will need to work with our existing location beacon products,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,0,0,A,A
3980,configurations settings;location,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
1696,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
4240,battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
2743,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,pump module;[moved to future scope,0,0,A,A
2078,calibration and bump test;we would like the ability to pre-set a periodic bumps and cals on a schedule that the transportable would execute on independently,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,0,0,A,A
2458,movement detection;the detection of motion would result in an alert and/or a notification in the portal,pump module;[moved to future scope,0,0,A,A
3656,configurations settings;calibration;automatic calibration on schedule toggle,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
3812,configurations settings;bump;automatic bump test on schedule toggle,team alerting requirements (sympathetic alerts,0,0,A,A
2088,calibration and bump test;we would like the ability to pre-set a periodic bumps and cals on a schedule that the transportable would execute on independently,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
2291,bluetooth;the transportable will need to work with our existing location beacon products,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
1174,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
2282,bluetooth;the transportable will need to work with our existing location beacon products,satellite and cellular communication options;the satellite communication module should be relatively easy for a field technician to install that way we can easily sell the cellular version to customers and tell them that if that’s not good enough they can always upgrade without shipping back their device,0,0,A,A
115,battery and run time;the battery pack will not be swappable in a hazardous location,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,0,0,A,A
3243,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
984,external av port(s);one of the ports will need the ability to stop a generator perhaps the port output alone won’t interface with a generator directly there might be an intermediary the use case is for the transportable to be close to a generator or other non-is equipment if the transportable detectors lel in the area it can shut off the equipment,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,0,0,A,A
623,battery and run time;the transportable battery pack will have its own independent charge level indicator,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,0,0,A,A
746,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,0,0,A,A
3020,pump module; if multiple inlets are used for sampling we’ll need to set the sample interval since we can’t draw on more than one at a time,configurations settings;bump;ability to not allow bump while in operation on the field,0,0,A,A
4259,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
2299,bluetooth;the transportable will need to work with our existing location beacon products,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
183,battery and run time;the transportable will have a power in port for slow battery charging that can be connected or disconnected inside a hazardous area the power in port can be supplied by a solar panel (hazardous locations) or other power supply (non-hazardous locations,battery and run time;the transportable battery pack can be removed for fast charging outside of a hazardous location,0,0,A,A
402,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,0,0,A,A
3805,configurations settings;bump;automatic bump test on schedule toggle,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
1204,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,0,0,A,A
1967,calibration and bump test;bump and cals need to be manually initiated from the device,configurations settings;bump;ability to not allow bump while in operation on the field,0,0,A,A
2636,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,0,0,A,A
3144,pump module;the pump needs to work with chlorine,software requirements;the info bar on the maps should show the pump inlet configuration and if a satellite module is connected,0,0,A,A
2853,pump module;the pump module of the transportable will have four inlets each inlet can draw a sample from a different location but not at the same time,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
2151,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
2790,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,software requirements;notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
2081,calibration and bump test;we would like the ability to pre-set a periodic bumps and cals on a schedule that the transportable would execute on independently,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,0,0,A,A
2351,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,configurations settings;calibration;automatic calibration on schedule toggle,0,0,A,A
1807,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,0,0,A,A
601,battery and run time;the transportable will have a battery charge level indicator,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
1199,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,0,0,A,A
1928,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
1433,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,0,0,A,A
298,battery and run time;the transportable battery pack can be removed for fast charging outside of a hazardous location,bluetooth;the transportable will need to work with our existing location beacon products,0,0,A,A
3903,configurations settings;sound:;enable/disable toggle,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
2974,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,configurations settings;lights: enable/disable toggle,0,0,A,A
4095,configurations settings;gas settings: same as g7 config,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
1102,external av port(s);it would be useful for the transportable to detect and alarm on all gases but only trigger the shut down on when lel is detected,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
2335,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,0,0,A,A
3139,pump module;the pump needs to work with chlorine,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
2294,bluetooth;the transportable will need to work with our existing location beacon products,configurations settings;bump;bump test schedule setting (# days,0,0,A,A
3859,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
475,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,movement detection;movement detection should be a feature of the transportale essentially when the gyro/accelerometer detects movement the device would send a message to the server doing it this way as opposed to with gps would be advantageous because gps signals and locations can bounce around,0,0,A,A
3884,configurations settings;lights: enable/disable toggle,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
1408,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",configurations settings;gas settings: same as g7 config,0,0,A,A
4089,configurations settings;gas settings: same as g7 config,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,0,0,A,A
2026,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,configurations settings;pump;toggle on/off which inlet(s) to draw from,0,0,A,A
2037,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
3337,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,configurations settings;pump;the device has to be available with or without the pump module,0,0,A,A
3753,configurations settings;bump;ability to not allow bump while in operation on the field,configurations settings;lights: enable/disable toggle,0,0,A,A
1751,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,configurations settings;custom name: assigned to the device like naming a dock,0,0,A,A
2149,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,pump module;the pump needs to work with chlorine,0,0,A,A
3069,pump module;[moved to future scope,configurations settings;bump;ability to not allow bump while in operation on the field,0,0,A,A
3428,configurations settings;custom name: assigned to the device like naming a dock,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
1787,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,software requirements;the info bar on the maps should show the pump inlet configuration and if a satellite module is connected,0,0,A,A
1823,gas sensor cartridges;the transportable will need to support all gas combinations available with the four sensor cartridge this could be one to five gases,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,0,0,A,A
1197,mounting;they are generally fixed to something while transported or during an extended hole watch its reasonable to expect them to be on the ground without a tripod the design should facilitate setting it down on the dirty ground,mounting;must be able to be carried with one hand,0,0,A,A
4138,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;we don’t need anything special here other than current g7 voice & ptt capabilities with the g7 we already have the ability to open a voice call without an alarm to device we did this for bs8484 this feature is toggled off by default on all orgs the use case for the transportable opening a communication channel would be a manager using the transportable to communicate an announcement to people in the area this ties into the mass notification mustering idea,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
210,battery and run time;the transportable will have a power in port for slow battery charging that can be connected or disconnected inside a hazardous area the power in port can be supplied by a solar panel (hazardous locations) or other power supply (non-hazardous locations,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
2434,movement detection;movement detection should be a feature of the transportale essentially when the gyro/accelerometer detects movement the device would send a message to the server doing it this way as opposed to with gps would be advantageous because gps signals and locations can bounce around,satellite voice/ptt,0,0,A,A
2160,calibration and bump test;we would have to have a way to inform any users that a bump or cal is occurring and they are not being monitored the indicator has to be local at the device (for example: sound/yellow blue light) and this will reflect on the portal at the beginning and the end of bump/cal (mode change,configurations settings;pump;the device has to be available with or without the pump module,0,0,A,A
740,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,0,0,A,A
3811,configurations settings;bump;automatic bump test on schedule toggle,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
3873,configurations settings;lights: enable/disable toggle,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
3471,configurations settings;pump;toggle on/off which inlet(s) to draw from,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
3738,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
3157,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,0,0,A,A
1305,mounting;must be able to be carried with one hand,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
1563,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,satellite voice/ptt,0,0,A,A
3622,configurations settings;calibration;ability to not allow calibration while in operation on the field,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
1070,external av port(s);it would be useful for the transportable to detect and alarm on all gases but only trigger the shut down on when lel is detected,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,0,0,A,A
1367,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",movement detection;the detection of motion would result in an alert and/or a notification in the portal,0,0,A,A
1538,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,0,0,A,A
1882,need to be able to easily perform bump tests and calibrations at the deployment site without dismantling the transportable;when on site at cp chem the total safety arearae techs would do a daily calibration of each arearae they would walk around with a cylinder connected to a demand flow regulator and cal the devices one at at time they had 22 deployed on the site at the time and would go up to around 40 by the peak of the turn around they would calibration half for the day shift and half at night,pump module;[moved to future scope,0,0,A,A
3324,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
585,battery and run time;the transportable will have a battery charge level indicator,configurations settings;pump;the device has to be available with or without the pump module,0,0,A,A
370,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,0,0,A,A
3625,configurations settings;calibration;ability to not allow calibration while in operation on the field,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
2716,movement detection;if motion detection auto-reset is disabled the user can still choose to set a one time motion detection this should be initiated from the portal once triggered it would need to be reset each time in the portal this set/reset feature could be in the info-bar,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
2032,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
1669,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",pump module;this means that gas alerts need to be accompanied by inlet information for example h2s high gas alert 32 ppm from inlet one,0,0,A,A
3748,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
2015,calibration and bump test;we would like the ability to remotely initiate bump and cals this would of course require the transportable to have the pump module connected to a cylinder,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,1,3,M,M
3501,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,configurations settings;calibration;automatic calibration on schedule toggle,0,0,A,A
622,battery and run time;the transportable will have a battery charge level indicator,team alerting requirements (sympathetic alerts,0,0,A,A
476,battery and run time;the battery pack charge level of the transportable will be sent to the portal so that users can get notifications when a transportable is getting low,movement detection;the detection of motion would result in an alert and/or a notification in the portal,0,0,A,A
3474,configurations settings;pump;toggle on/off which inlet(s) to draw from,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
3486,configurations settings;pump;toggle on/off which inlet(s) to draw from,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
3369,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,software requirements;the info bar on the maps should show the pump inlet configuration and if a satellite module is connected,0,0,A,A
1677,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
1965,calibration and bump test;bump and cals need to be manually initiated from the device,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
1313,mounting;must be able to be carried with one hand,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,0,0,A,A
1323,mounting;must be able to be carried with one hand,configurations settings;lights: enable/disable toggle,0,0,A,A
373,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",0,0,A,A
1659,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
672,battery and run time;the transportable battery pack will have its own independent charge level indicator,configurations settings;calibration;automatic calibration on schedule toggle,0,0,A,A
955,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
420,battery and run time;while fast charging each transportable battery pack will require its own outlet gang charging from a single outlet is not a requirement,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
792,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,0,0,A,A
816,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;once triggered motion detection would need to be reset,0,0,A,A
2276,bluetooth;the transportable will need to work with our existing location beacon products,pump module;the pump needs to work with chlorine,0,0,A,A
2426,movement detection;movement detection should be a feature of the transportale essentially when the gyro/accelerometer detects movement the device would send a message to the server doing it this way as opposed to with gps would be advantageous because gps signals and locations can bounce around,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
3319,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
2371,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,push-to-talk: the transportable should be capable of ptt;ptt can be toggled on/off from the server,0,0,A,A
2233,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,configurations settings;lights: enable/disable toggle,0,0,A,A
3976,configurations settings;sos latch pull: enable/disable toggle,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
1712,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",battery usage and tracking schedules;perhaps the device collects it’s logs for a period of time while there is no cell connection periodically it connects and dumps the logs (cellular only) if there is an alert it will quickly try to establish cell connection and report the high gas,0,0,A,A
1976,calibration and bump test;bump and cals need to be manually initiated from the device,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
1528,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,pump module;the pump needs to work with chlorine,0,0,A,A
2660,movement detection;phil b 1/8/19 requirement changed: we will auto reset in the same way the tracking products did barry will define the details;set as part of the transportable configuration profile “movement detection auto-reset” should be an option when toggled on the transportable would always throw a notification when it is moved obviously it would need a buffer between notifications of around 15-30 minutes also it should not throw an notification for the first 30 minutes after it has been powered on the device would need to be powered down while moving it to avoid notifications,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
2467,movement detection;the detection of motion would result in an alert and/or a notification in the portal,configurations settings;pump;toggle on/off which inlet(s) to draw from,0,0,A,A
1173,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,configurations settings;connection lost notification: no alarm on device just portal/email/sms,0,0,A,A
2802,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,0,0,A,A
1621,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,configurations settings;lights: enable/disable toggle,0,0,A,A
730,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,movement detection;movement detection should be a feature of the transportale essentially when the gyro/accelerometer detects movement the device would send a message to the server doing it this way as opposed to with gps would be advantageous because gps signals and locations can bounce around,0,0,A,A
4055,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,battery usage and tracking schedules;to optimize battery life we’ll want the device to have the ability to limit some of the activities that are important for a portable but not as important for transportable this might be a throwback to some of our tracking products,0,0,A,A
1403,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",configurations settings;location,0,0,A,A
1132,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,0,0,A,A
2474,movement detection;the detection of motion would result in an alert and/or a notification in the portal,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
